title,label,color,labeled_places_22_02_pid,labeled_places_22_02_place_id
Аэродром куммолово,45,#fc8d62,6118388,6118388
Global Foto Zone | Фестиваль для всей семьи,59,#3ace9a,9770849,9770849
Интерио торговый центр,59,#3ace9a,9424139,9424139
Юлмарт,59,#3ace9a,6217304,6217304
окей богатырский,45,#fc8d62,8374996,8374996
Туполевская д.4,59,#3ace9a,8024306,8024306
Trattoria Ponte Alla Cascata,59,#3ace9a,4248,4248
Пионер,59,#3ace9a,9905,9905
Камендантский,59,#3ace9a,7603684,7603684
Шервуд,59,#3ace9a,4014,4014
Маршала новикова д.1 к.1,59,#3ace9a,10351095,10351095
школа N45,59,#3ace9a,9574589,9574589
Ул. Маршала Новикова 8,59,#3ace9a,14841327,14841327
Королева проспект  26 к 1,59,#3ace9a,8189835,8189835
Королева 27/1,27,#68d5d2,13498431,13498431
Улица Маршала Новикова 9,59,#3ace9a,6177956,6177956
Долгое,59,#3ace9a,12433690,12433690
парашютная 27 к 1,59,#3ace9a,7935624,7935624
Москва сити набережная,59,#3ace9a,18292523,18292523
Центр красоты и здоровья Гармония,59,#3ace9a,11860537,11860537
pot pourri,59,#3ace9a,7359263,7359263
парашютная 22,59,#3ace9a,12292568,12292568
Озеро долгое,59,#3ace9a,8588805,8588805
долгоозерная 33 корпус2,59,#3ace9a,12082134,12082134
Домики для кошек,59,#3ace9a,12742846,12742846
Долгоозерная 31,59,#3ace9a,13679455,13679455
Сеть Студий Красоты EGO ? ЭГО Приморский район,59,#3ace9a,1821121,1821121
Приморский район,16,#d4c233,6271916,6271916
Домик у озера,59,#3ace9a,8488240,8488240
Долгоозерная 41к2,59,#3ace9a,7693879,7693879
| П А Р Г О Л О В О |,31,#2be462,1396107,1396107
счастливая 13,22,#cd3cc8,8953922,8953922
"Санкт-Перербург, улица счастливая",22,#cd3cc8,15522301,15522301
"Ленинский проспект, 131к2",22,#cd3cc8,6714298,6714298
"Ленинский проспект, 134",22,#cd3cc8,15683118,15683118
Наращивание волос СПБ,22,#cd3cc8,11091200,11091200
Школа Взмах,22,#cd3cc8,7132750,7132750
Небесный дворец,53,#41c4db,3846,3846
Некрасовский колледж №1 гр.1-12,53,#41c4db,6356670,6356670
"Республика Карелия, Петрозаводск, Онежская набережная",53,#41c4db,11692660,11692660
Батутный клуб Flipster Акробатика Фитнес батут,53,#41c4db,8229112,8229112
Васи Алексеева,53,#41c4db,16283950,16283950
Зайцева 33,53,#41c4db,7584970,7584970
Материалы для микроблейдинга. Наращивания ресниц,53,#41c4db,2374172,2374172
Бильярдный клуб,53,#41c4db,9871498,9871498
"Бизнес-центр ""Возрождение""",53,#41c4db,6424446,6424446
Возрождения27,53,#41c4db,8789793,8789793
"БЦ ""КомандарМ""",23,#bb73e4,10631961,10631961
"Магазин ""Оружейный Двор""",23,#bb73e4,7631003,7631003
"пр. Стачек, 24",23,#bb73e4,11618747,11618747
Парк Девятого января,23,#bb73e4,8551888,8551888
Парк 9 января,23,#bb73e4,11234007,11234007
Касабланка,23,#bb73e4,4341,4341
Маленькая леди,23,#bb73e4,9292529,9292529
"оборонная ул.,5",23,#bb73e4,7773981,7773981
Санкт-петербург кировская площадь,23,#bb73e4,6046508,6046508
McDonald`s,23,#bb73e4,8541,8541
Школа 375,14,#38c2ce,8412923,8412923
Лицей №384,23,#bb73e4,18987993,18987993
У Нарвских ворот,23,#bb73e4,3204,3204
KillFish на,23,#bb73e4,8024073,8024073
Нарвская контакт бар,23,#bb73e4,7940956,7940956
Технологический институт. Станция метро,6,#e9e934,17855466,17855466
адмиралтейская набережная 10,23,#bb73e4,8865235,8865235
Нарвские Триумфальные Ворота,23,#bb73e4,6090171,6090171
ДК им Горького,23,#bb73e4,8052978,8052978
"Narvskaya, Ploshchad' Stachek",23,#bb73e4,17201771,17201771
Театр имени горького,23,#bb73e4,14144781,14144781
Чердак,23,#bb73e4,4754,4754
Дворец культуры имени Горького,23,#bb73e4,16410295,16410295
Burger King,23,#bb73e4,5787007,5787007
Спбгтурп,23,#bb73e4,5562210,5562210
Ресторан Лён,23,#bb73e4,10716819,10716819
Международная школа дизайна,23,#bb73e4,5732159,5732159
старо-петергофский  пр д41,23,#bb73e4,10940139,10940139
"Нарвский проспект, 16",23,#bb73e4,6415933,6415933
"BarberShop ""Поддубный"" мужские стрижки, бритьё",23,#bb73e4,14786490,14786490
нарвский проспект 9,23,#bb73e4,10942504,10942504
Спасо-Преображенский Валаамский Ставропигиальный Мужской Монастырь.,23,#bb73e4,11917573,11917573
BanketBar,23,#bb73e4,9972,9972
Бар Гидрант | СПБ,23,#bb73e4,15316997,15316997
Korean BBQ grill ресторан корейской кухни??,23,#bb73e4,13877498,13877498
набережная обводного канала 223,23,#bb73e4,12559856,12559856
"""Arealinn""",23,#bb73e4,7251435,7251435
Петропавловский собор,23,#bb73e4,5608948,5608948
"Старо-Петергофский проспект,10",23,#bb73e4,9032109,9032109
Старо-петергофский проспект дом 15,23,#bb73e4,12758858,12758858
Цпкио имени С.М. Кирова,23,#bb73e4,11766148,11766148
Старо-Петергофский пр.15,23,#bb73e4,11190133,11190133
Курляндская 27,23,#bb73e4,6267246,6267246
Choice Concept Club | Only for open-mind people,23,#bb73e4,17517865,17517865
ул. Степана Разина д.9,23,#bb73e4,12165000,12165000
Рижский 50,23,#bb73e4,7204568,7204568
"Старо-Калинкин мост, Санкт Петербург",25,#e78ac3,12551705,12551705
"БАНЯ совместная, безопасная, необычная, клубная!",25,#e78ac3,2893559,2893559
Лоцманская улица,25,#e78ac3,13646904,13646904
Набережная реки Пряжки,25,#e78ac3,16307629,16307629
офис Невис,25,#e78ac3,6085276,6085276
Hotel Amaranta,25,#e78ac3,11767395,11767395
Городская психиатрическая больница Святого Николая Чудотворца,25,#e78ac3,9672041,9672041
Санкт Петербург Большая Нева,39,#75d098,12507842,12507842
Лейтинанта Шмидта набережная 29,39,#75d098,5620446,5620446
БИЭПП Мастерская Н.А.Феоктистова,39,#75d098,12995347,12995347
Музей Рерихов в Санкт-Петербурге,39,#75d098,2003912,2003912
Нака чай,39,#75d098,6544406,6544406
Валяние/Мастер-классы в СПб,39,#75d098,9321820,9321820
Николаевская трапеза,39,#75d098,1819,1819
Набережная Лейтинанта шмидта,39,#75d098,6057647,6057647
