field_1,address,checkins,group_id,lat,lng,place_id,title,labels,id,stats,main_categorie
2562,"Садовая ул. 22, Ресторан Метрополь",213,17164349,30.333475,59.93314,7832553,Ресторанный комплекс «Метрополь».,150,4f3fc50be5e866be7d264ee2,"{'tipCount': 96, 'usersCount': 4528, 'checkinsCount': 6735}",Food
2572,Невский просп. 44,205,,30.33299,59.934835,2462,Север,150,4bdd994caebd2d7f1867af51,"{'tipCount': 299, 'usersCount': 9538, 'checkinsCount': 12917}",Food
2629,улица Итальянская 17,23,,30.334293,59.936133,15226599,Бездельники,150,57484479498e509ebc83f67c,"{'tipCount': 15, 'usersCount': 1673, 'checkinsCount': 3233}",Food
175,Адмиралтейского Канала наб. 2м,43,146277961,30.288838,59.929502,18070472,Kuznya,151,57d31082498ebd10a7da5ed2,"{'tipCount': 45, 'usersCount': 2438, 'checkinsCount': 3813}",Food
284,Садовая 66,17,,30.297731,59.920127,9682,Old Dogs,151,4c0a97e4a1b32d7fa19899f0,"{'tipCount': 43, 'usersCount': 1030, 'checkinsCount': 2461}",Food
286,Союза Печатников 10а,17,,30.292844,59.92368,6493,Евразия,151,4cc2eefdb2beb1f79403134c,"{'tipCount': 63, 'usersCount': 1707, 'checkinsCount': 4031}",Food
291,Крюкова Канала набережная 11,10,,30.296015,59.923351,7139586,Est! Cafe,151,52862a8e11d2a68eee3825f2,"{'tipCount': 58, 'usersCount': 637, 'checkinsCount': 1209}",Food
321,Конногвардейский бульвар 23,92,,30.293383,59.932184,9142180,Ресторан гимназия,151,4e1d333c2271ff848fe4e3da,"{'tipCount': 48, 'usersCount': 4581, 'checkinsCount': 10442}",Food
500,Конногвардейский бульвар 21,81,,30.294749,59.932924,16073925,Клубный ресторан Гимназия,151,4e1d333c2271ff848fe4e3da,"{'tipCount': 48, 'usersCount': 4581, 'checkinsCount': 10442}",Food
678,Никольский переулок,111,,30.304217,59.920627,5818358,Никольский собор,151,5290711011d2721ac4a5680d,"{'tipCount': 1, 'usersCount': 128, 'checkinsCount': 398}",Food
694,Декабристов 13,65,,30.303184,59.92832,10268,Сеновал,151,4cb6efaf52edb1f7741472fe,"{'tipCount': 284, 'usersCount': 6655, 'checkinsCount': 20005}",Food
695,Фонарный пер. 7,13,,30.304963,59.928068,3672,Тан Жен,151,4bcc52a668f976b0e25b6283,"{'tipCount': 181, 'usersCount': 3800, 'checkinsCount': 7878}",Food
746,Таможенный пер. 2,16,,30.303741,59.941488,3240,Ресторан,151,4d70c64ab48c236a2befd257,"{'tipCount': 32, 'usersCount': 1007, 'checkinsCount': 2162}",Food
1262,Шуваловский проспект 90к1,25,,30.193688,59.995386,9917087,Шуваловский 90,154,55feb3db498e5874c7ddc551,"{'tipCount': 0, 'usersCount': 1, 'checkinsCount': 1}",Food
2540,Набережная реки Фонтанки 55,81,,30.336305,59.929267,52385,Бутик-отель РОССИ,0,4bee6a83f97d9521d2db9438,"{'tipCount': 69, 'usersCount': 5429, 'checkinsCount': 12970}",Nightlife Spot
2550,Ломоносова ул. 24,44,54146959,30.340724,59.926972,6104532,"Модная рюмочная ""На Бровях""",0,53bd0d88498e3329fcbea494,"{'tipCount': 126, 'usersCount': 3203, 'checkinsCount': 6023}",Nightlife Spot
2911,"Загородный пр. 32, KillFish",29,29515411,30.339431,59.924776,826833,Бар KillFish,0,4ddc05c0d164236dd36a6d3d,"{'tipCount': 93, 'usersCount': 4373, 'checkinsCount': 8640}",Nightlife Spot
2958,улица Рубинштейна 29,10,,30.342395,59.926868,14802282,Puffs Рубинштейна 27,0,56c0afb4cd104c422a66aa84,"{'tipCount': 14, 'usersCount': 464, 'checkinsCount': 1855}",Nightlife Spot
2983,улица Рубинштейна 17,17,,30.34359,59.928952,10840131,Жиробас,0,5481d74c498e7c6450409722,"{'tipCount': 115, 'usersCount': 2404, 'checkinsCount': 3236}",Nightlife Spot
2988,ул.Рубинштейна 30,16,,30.344111,59.928699,7248088,Nargilia.THE OFFICE.,0,5069b831e4b0298866162187,"{'tipCount': 185, 'usersCount': 7064, 'checkinsCount': 23757}",Nightlife Spot
3065,Фонтанки реки набережная 40,43,,30.344623,59.933708,6480764,Пир О.Г.И.,0,4c0956c37e3fc92828cef182,"{'tipCount': 596, 'usersCount': 17237, 'checkinsCount': 54298}",Nightlife Spot
3080,наб. реки Фонтанки 11,221,,30.342782,59.936792,484,Пурга,0,56b7b3ef498e1af5ccaa3364,"{'tipCount': 9, 'usersCount': 544, 'checkinsCount': 688}",Nightlife Spot
3098,Фонтанки реки набережная 9,22,,30.342692,59.93708,7416652,Let it bar,0,52bdda54498ec518aa850c73,"{'tipCount': 165, 'usersCount': 3612, 'checkinsCount': 12321}",Nightlife Spot
3107,улица Белинского 5,74,,30.345818,59.938072,10636459,Скоро Весна!,0,54a7f48d498e72e47a8b9e28,"{'tipCount': 40, 'usersCount': 2177, 'checkinsCount': 4671}",Nightlife Spot
3346,улица Колокольная 2,36,,30.348684,59.92906,13600003,El Copitas,0,54a56ac0498e87a65da12c8b,"{'tipCount': 157, 'usersCount': 2581, 'checkinsCount': 4597}",Nightlife Spot
3377,"Владимирский проспект, дом 5",11,66970239,30.347444,59.931219,9962364,Уникальная Кальянная Академия. СПб. 18+.,0,57a23756498e4d3266cbcedb,"{'tipCount': 1, 'usersCount': 23, 'checkinsCount': 41}",Nightlife Spot
3378,"Ул. Рубинштейна, 8",17,,30.345953,59.931688,10046010,Проходимец,0,4caf562475ebb60ca86abbad,"{'tipCount': 74, 'usersCount': 2400, 'checkinsCount': 4309}",Nightlife Spot
3379,Рубинштейна 8,13,,30.345953,59.931688,7229,Проходимец,0,4caf562475ebb60ca86abbad,"{'tipCount': 74, 'usersCount': 2400, 'checkinsCount': 4309}",Nightlife Spot
3381,"Владимирский пр. 8, Бар ""Почта""",18,74448214,30.348243,59.930859,9065424,Бар ПОЧТА,0,5560d642498ef3523d5d7dfb,"{'tipCount': 33, 'usersCount': 1992, 'checkinsCount': 5312}",Nightlife Spot
3386,"ул. Рубинштейна,1",35,,30.34562,59.932504,15578552,Commode,0,5668322f498e5e7f990ca363,"{'tipCount': 104, 'usersCount': 1806, 'checkinsCount': 2899}",Nightlife Spot
3392,улица Рубинштейна 2,18,,30.346294,59.932482,12984909,Temple Hookah Bar,0,5612b1b3498e7c3b62cb2adf,"{'tipCount': 2, 'usersCount': 133, 'checkinsCount': 194}",Nightlife Spot
3397,улица Стремянная 12,17,,30.351639,59.931111,10377863,Sobko lounge,0,547b4e25498e02f12dc75932,"{'tipCount': 181, 'usersCount': 3166, 'checkinsCount': 17846}",Nightlife Spot
3433,Литейный проспект 64/78лБ,34,,30.348423,59.933099,7615325,Gin tonyc,0,51643bd9e4b08b272a9b23ab,"{'tipCount': 181, 'usersCount': 5535, 'checkinsCount': 12091}",Nightlife Spot
3453,Литейный пр. 57,53,,30.347686,59.934786,11340647,"Бар ""Гадкий Койот""",0,4ca7922644a8224b9fbc0e40,"{'tipCount': 345, 'usersCount': 10200, 'checkinsCount': 18467}",Nightlife Spot
3455,Литейный проспект 57,328,,30.347686,59.934786,5401887,Гадкий койот,0,4ca7922644a8224b9fbc0e40,"{'tipCount': 345, 'usersCount': 10200, 'checkinsCount': 18467}",Nightlife Spot
3461,Литейный проспект 53,202,,30.347704,59.936332,7937480,Union bar,0,52c17502498e63a5b8cc0e75,"{'tipCount': 323, 'usersCount': 15324, 'checkinsCount': 42622}",Nightlife Spot
3467,Фонтанки реки набережная 34A,42,,30.345459,59.936449,12980846,Мечтатели,0,559d5528498e39f79da6d766,"{'tipCount': 216, 'usersCount': 3568, 'checkinsCount': 5530}",Nightlife Spot
3473,"Литейный пр,д.53",14,52398771,30.347704,59.936332,5142978,ПИТЕР-БАР,0,4f0315dd8231bcb706e1115a,"{'tipCount': 1, 'usersCount': 9, 'checkinsCount': 10}",Nightlife Spot
3477,улица Жуковского 3,49,,30.350238,59.935791,13766521,Синий Пушкин,0,4c781e0a794e224b82156128,"{'tipCount': 262, 'usersCount': 8901, 'checkinsCount': 15159}",Nightlife Spot
3478,Белинского 13,47,,30.347597,59.938112,7558,Толстый фраер,0,4c9b271eeaa5a143b529d2e4,"{'tipCount': 77, 'usersCount': 3109, 'checkinsCount': 4921}",Nightlife Spot
3481,"Жуковского 3, Синий Пушкин",217,19389632,30.350238,59.935791,1957990,Ресто-бар Синий Пушкин,0,4c781e0a794e224b82156128,"{'tipCount': 262, 'usersCount': 8901, 'checkinsCount': 15159}",Nightlife Spot
3644,Лиговский просп. 107,22,,30.353463,59.920546,8117,Райский сад,0,4d73c52c4ab5224b7e93d197,"{'tipCount': 20, 'usersCount': 846, 'checkinsCount': 1325}",Nightlife Spot
3688,Marata ulitsa 35,13,,30.351486,59.9258,12195671,Улица марата 35,0,5a1c94e617556242030b7fc7,"{'tipCount': 14, 'usersCount': 43, 'checkinsCount': 109}",Nightlife Spot
3693,улица Марата 33,17,,30.351711,59.926106,7947499,Woodbar,0,50b0e8cbe4b0b7c94b159679,"{'tipCount': 238, 'usersCount': 4554, 'checkinsCount': 17909}",Nightlife Spot
3723,"ул. Марата, 14, ПИВНОЙ ЭТИКЕТ",20,17044806,30.354559,59.929285,5856592,Бар «Пивной Этикет»,0,51d7ecb6498e2622acb37280,"{'tipCount': 105, 'usersCount': 2491, 'checkinsCount': 7932}",Nightlife Spot
3735,"ул. Марата, 5",77,,30.354343,59.930228,8276548,Контакт-бар,0,4dc8196a81303adecbba26a9,"{'tipCount': 204, 'usersCount': 9624, 'checkinsCount': 19225}",Nightlife Spot
3754,Невский проспект 71,587,,30.35499,59.931544,15849099,Квартира Кости Кройца,0,57b5c215498ea2f6b99c5d31,"{'tipCount': 118, 'usersCount': 4058, 'checkinsCount': 7526}",Nightlife Spot
3771,Невский проспект 92,27,,30.352403,59.932383,9011610,Mundshtuk,0,530f5bd1498ee648b6560316,"{'tipCount': 60, 'usersCount': 1620, 'checkinsCount': 6595}",Nightlife Spot
3801,"Жуковского, 12",112,,30.353364,59.936124,5771395,Dead Poets,0,51b5e50f498ecbc1df8bdf20,"{'tipCount': 312, 'usersCount': 10677, 'checkinsCount': 24390}",Nightlife Spot
3802,"ул.Жуковского, 7-9",10,,30.351531,59.935773,18601305,Курорты,0,596a86e83c858d0ea72bf366,"{'tipCount': 12, 'usersCount': 222, 'checkinsCount': 407}",Nightlife Spot
3803,улица Жуковского 15,11,,30.352762,59.935759,17916594,Dr.moro,0,5813b7af38fa794b8379680c,"{'tipCount': 1, 'usersCount': 15, 'checkinsCount': 16}",Nightlife Spot
3807,Маяковского ул. 16,59,36416194,30.354765,59.936224,1871838,Liverpool,0,4beed464b0b376b0eac7dab3,"{'tipCount': 149, 'usersCount': 4895, 'checkinsCount': 8463}",Nightlife Spot
3809,Маяковского 16,59,,30.354765,59.936224,576,Ливерпуль,0,4beed464b0b376b0eac7dab3,"{'tipCount': 149, 'usersCount': 4895, 'checkinsCount': 8463}",Nightlife Spot
3834,"Басков пер., 11",17,,30.354756,59.939419,9488040,1/2 комнаты,0,5389c9cc498eff3283443967,"{'tipCount': 225, 'usersCount': 4816, 'checkinsCount': 14306}",Nightlife Spot
3949,Лиговский проспект 50к13,108,,30.362176,59.923477,6782847,Клуб ЯЩИК,0,523e3b1911d25e72d8901be7,"{'tipCount': 32, 'usersCount': 2029, 'checkinsCount': 2817}",Nightlife Spot
3950,Лиговский пр.50 корпус 16 литера У,12,66926739,30.360901,59.922963,7839227,CAPELLA,0,534851a2498e92738c37e50f,"{'tipCount': 16, 'usersCount': 1067, 'checkinsCount': 1702}",Nightlife Spot
3967,Лиговский проспект 50к12,48,,30.362877,59.923428,5995542,"""Дюны"" на Лиговском",0,4dbae6ec0cb691071c7ca2fb,"{'tipCount': 125, 'usersCount': 6118, 'checkinsCount': 14397}",Nightlife Spot
3968,просп. Лиговский 50 корпус 4,14,,30.361323,59.925471,5652434,Friends only bat,0,4f173f7ee4b08e7baebdb28e,"{'tipCount': 70, 'usersCount': 2230, 'checkinsCount': 5718}",Nightlife Spot
4001,Пушкинская 1,45,,30.357586,59.930962,1540,Рюмочная,0,4bcf0b83b6c49c74030a9891,"{'tipCount': 117, 'usersCount': 3609, 'checkinsCount': 10338}",Nightlife Spot
4004,улица Пушкинская 5,10,,30.357209,59.93034,18062838,Lapa Smoke Lounge,0,590f8a551108ba582639e3fd,"{'tipCount': 3, 'usersCount': 39, 'checkinsCount': 180}",Nightlife Spot
4023,Невский проспект 81,12,,30.359508,59.930944,11681138,Deep eMotion,0,53c04743498e72c336cab717,"{'tipCount': 17, 'usersCount': 438, 'checkinsCount': 1198}",Nightlife Spot
4102,"Восстания ул., 20",45,146713040,30.360065,59.93763,18126546,VINOVNIKI,0,590a4b75a6fe4d717e9b089e,"{'tipCount': 30, 'usersCount': 741, 'checkinsCount': 915}",Nightlife Spot
4103,"Радищева ул. 4, БАР ""ПРОБИРОЧНАЯ""",58,103405510,30.361961,59.936327,13088230,"БАР-лаборатория ""ПРОБИРОЧНАЯ""",0,562bc1c4498e315875ec8955,"{'tipCount': 33, 'usersCount': 980, 'checkinsCount': 1356}",Nightlife Spot
4108,Некрасова 25,74,,30.359185,59.938608,9995,Beer House,0,4de000c91f6ece64736f7361,"{'tipCount': 67, 'usersCount': 2913, 'checkinsCount': 6181}",Nightlife Spot
4109,"Некрасова, 26",34,86007837,30.357092,59.938987,10823140,Redrum,0,5466746c498ec5a2d882109c,"{'tipCount': 205, 'usersCount': 4932, 'checkinsCount': 14268}",Nightlife Spot
4112,улица Некрасова 26,20,,30.357092,59.938987,8775985,Хроники,0,5239f9a011d208a998154f68,"{'tipCount': 139, 'usersCount': 5520, 'checkinsCount': 21370}",Nightlife Spot
4128,Некрасова 37К20,28,,30.362949,59.938531,8152,Templet Bar,0,4c12a15e7f7f2d7f52a9dd68,"{'tipCount': 133, 'usersCount': 2823, 'checkinsCount': 12263}",Nightlife Spot
4134,Восстания 39,26,,30.360919,59.939717,6060,Foggy Dew,0,4bef0532f2712d7fbd2efbd8,"{'tipCount': 94, 'usersCount': 2943, 'checkinsCount': 7033}",Nightlife Spot
4338,улица Гончарная 22,70,,30.367737,59.928825,6527363,"СБГ, Гончарная 25",0,4c63da914b5176b0bf931717,"{'tipCount': 65, 'usersCount': 2414, 'checkinsCount': 17027}",Nightlife Spot
4520,Мытнинская ул. 4,25,59435291,30.374312,59.931116,6846675,Бар 17,0,521612e411d23e4d92eb054a,"{'tipCount': 54, 'usersCount': 1052, 'checkinsCount': 2160}",Nightlife Spot
4535,"Советская 8-я ул. 4, Factory (3-й этаж)",18,50513356,30.370324,59.938027,4900535,Factory | Creative Loft,0,57dc5be5498ea7530c6f365d,"{'tipCount': 0, 'usersCount': 242, 'checkinsCount': 300}",Nightlife Spot
2443,Куйбышева 23,13,,30.331508,59.956557,2545,Tower,13,4c8e049dd68c6dcbcc46f8a1,"{'tipCount': 45, 'usersCount': 1242, 'checkinsCount': 3547}",Nightlife Spot
936,Римского-Корсакова проспект 1,56,,30.311565,59.924515,7614524,London pub,25,5990ad98a879210716d90182,"{'tipCount': 13, 'usersCount': 85, 'checkinsCount': 116}",Nightlife Spot
967,"пер. Гривцова, 1",48,,30.31223,59.931675,14097035,sixty two bar,25,5888a01fa19e90156547a37b,"{'tipCount': 47, 'usersCount': 1393, 'checkinsCount': 5983}",Nightlife Spot
1034,"ул. Малая Морская, 15/7",158,89419806,30.311044,59.935205,11938980,Craft Brew Cafe,25,55467132498e23f74f5e6fab,"{'tipCount': 285, 'usersCount': 7207, 'checkinsCount': 11616}",Nightlife Spot
1039,ул. Малая Морская 11,318,,30.312697,59.935809,5332189,music bar 11,25,4ce98656d99f721e7fc3b673,"{'tipCount': 126, 'usersCount': 7921, 'checkinsCount': 33498}",Nightlife Spot
1471,Канала Грибоедова набережная 50,14,,30.315796,59.927685,12969872,Every dog bar,25,55ad3186498e25a5d427454c,"{'tipCount': 45, 'usersCount': 1584, 'checkinsCount': 4258}",Nightlife Spot
1479,улица Ефимова 2,21,,30.320845,59.926499,5498822,Shilling Pub,25,4c14c54ba9c220a1f206589d,"{'tipCount': 163, 'usersCount': 5425, 'checkinsCount': 12659}",Nightlife Spot
1488,Сенная площадь 2,10,,30.32045,59.927053,16663560,Пиворама на Ефимова,25,57d54fab498ebd10ac7a476d,"{'tipCount': 5, 'usersCount': 508, 'checkinsCount': 737}",Nightlife Spot
1498,ул. Казанская 26,53,,30.317808,59.930561,1277,Стирка 40°,25,4bad17bef964a520d12c3be3,"{'tipCount': 170, 'usersCount': 6305, 'checkinsCount': 16170}",Nightlife Spot
1565,"Невский просп., 8",40,,30.31488,59.936985,14910319,Пивбар SПБ,25,4e32d1abd4c00077f65ede43,"{'tipCount': 131, 'usersCount': 6325, 'checkinsCount': 8640}",Nightlife Spot
1847,улица Казанская 11,32,,30.320018,59.931436,5492904,Borodabar,25,4fb15641e4b02f54b90ebf92,"{'tipCount': 224, 'usersCount': 6771, 'checkinsCount': 18169}",Nightlife Spot
1851,"Москательный пер., 1",14,92610058,30.323001,59.930602,14326930,"Monte-Cristo lounge&amp;bar",25,553a9e2b498e754de34784f2,"{'tipCount': 89, 'usersCount': 1330, 'checkinsCount': 4160}",Nightlife Spot
1855,Санкт-Петербург Ул. Казанская дом 7,219,,30.321042,59.932378,9449453,Santa Barbara,25,586831881b36d41b5b0f126a,"{'tipCount': 0, 'usersCount': 4, 'checkinsCount': 4}",Nightlife Spot
1860,улица Казанская 7,11,,30.321042,59.932378,16658557,Santa Barbara Club,25,586831881b36d41b5b0f126a,"{'tipCount': 0, 'usersCount': 4, 'checkinsCount': 4}",Nightlife Spot
1870,Канала Грибоедова набережная 31,55,,30.323612,59.932067,7231129,Пиф-паф,25,5257e2c011d238157c415649,"{'tipCount': 232, 'usersCount': 5912, 'checkinsCount': 15511}",Nightlife Spot
1874,ул. Казанская 5,115,,30.321869,59.933429,1820,Office Pub,25,4bc8997915a7ef3bfe6a7bda,"{'tipCount': 258, 'usersCount': 9387, 'checkinsCount': 20959}",Nightlife Spot
1914,Невский проспект 20,23,,30.321114,59.936246,6386656,Викинги,25,4eac320082312ec2f73f1e46,"{'tipCount': 71, 'usersCount': 1874, 'checkinsCount': 2489}",Nightlife Spot
1926,Невский проспект 21,20,,30.322084,59.935592,6660784,"Бар ""Викинг""",25,4eac320082312ec2f73f1e46,"{'tipCount': 71, 'usersCount': 1874, 'checkinsCount': 2489}",Nightlife Spot
1991,Канала Грибоедова набережная 18,15,,30.326756,59.934677,8817449,Рукивверх бар,25,4d715b18a7fb6ea87dabf7ea,"{'tipCount': 225, 'usersCount': 12993, 'checkinsCount': 37394}",Nightlife Spot
